"id","label","label_en","country_id","country_name","population","postal_code","coords"
"Q7918950","Βελίκα Λάρισας","Velika, Larissa","Q41","Greece","291","['40003']","(39.748611111111, 22.861944444444)"
"Q8157191","δημοτική ενότητα Λακερείας","Lakeria Municipal Unit","Q41","Greece","1673","['400\xa003']","(39.68333333, 22.63333333)"
"Q9300218","δημοτική ενότητα Ταμασίου","Tamassio Municipal Unit","Q41","Greece","3506","['430\xa063']","(39.2, 22.1333)"
"Q10529053","Τέρπυλλος Κιλκίς","","Q41","Greece","483","['61100']","(41.038333333333, 22.954722222222)"
"Q10729171","Αγία Σοφία Λήμνου","Agia Sofia","Q41","Greece","50","['81401']","(39.830277777778, 25.329166666667)"
"Q11519252","Δαφνούδι Σερρών","Dafnoudi","Q41","Greece","443","['62050']","(41.06055556, 23.74638889)"
"Q11521927","Φλάμπουρο Σερρών","Flabouro","Q41","Greece","837","['622\xa000']","(40.9317143, 23.5664976)"
"Q11723843","Περιφερειακή Ενότητα Μεσσηνίας","Messenia Regional Unit","Q41","Greece","161953","['24* **']","(37.166666666666664, 21.833333333333332)"
"Q12108991","Καστράκι Τρικάλων","Kastraki, Trikala","Q41","Greece","1117","['422\xa000']","(39.716944444444, 21.618611111111)"
"Q12211372","Δαμάσι Λάρισας","Damasi","Q41","Greece","1380","['401\xa000']","(39.7125, 22.1875)"
"Q12230117","Βασιλικό Εύβοιας","Vasiliko","Q41","Greece","6571","['340\xa002']","(38.42589951, 23.67070007)"
"Q12237538","Λουτρά Αιδηψού Εύβοιας","Loutra Edipsou","Q41","Greece","2560","['343\xa000']","(38.85556667, 23.04635278)"
"Q12238298","Μακρυχώρι Καρδίτσας","Makrichori","Q41","Greece","822","['43150']","(39.43861111, 21.96777778)"
"Q12271126","Αγαλαίοι Γρεβενών","Agalaioi","Q41","Greece","47","['511\xa000']","(40.029722222222, 21.620833333333)"
"Q12273075","Αρίστηνο Έβρου","Aristino","Q41","Greece","445","['681\xa000']","(40.872222222222, 25.998888888889)"
"Q12278797","Δίπορο Γρεβενών","Diporo","Q41","Greece","85","['511\xa000']","(39.99062, 21.65489)"
